ref_area.label,indicator.label,source.label,sex.label,classif1.label,time,obs_value,obs_status.label,note_classif.label,note_indicator.label,note_source.label
Argentina,SDG indicator 8.5.1 - Average hourly earnings of employees by sex (Local currency),ARG - LFS - Encuesta Permanente de Hogares (Urban),Sex: Total,Occupation (ISCO-08): 0. Armed forces occupations,2018,138,,,Currency: ARG - Argentine peso (ARS) | Accounting concept: Net | Job coverage: Main job currently held | Working time arrangement coverage: Full-time and part time workers,Employment definition: Excluding own-use production workers | Data reference period: Fourth quarter | Geographical coverage: Main cities or metropolitan areas
Argentina,SDG indicator 8.5.1 - Average hourly earnings of employees by sex (Local currency),ARG - LFS - Encuesta Permanente de Hogares (Urban),Sex: Total,Occupation (ISCO-08): X. Not elsewhere classified,2018,164,,,Currency: ARG - Argentine peso (ARS) | Accounting concept: Net | Job coverage: Main job currently held | Working time arrangement coverage: Full-time and part time workers,Employment definition: Excluding own-use production workers | Data reference period: Fourth quarter | Geographical coverage: Main cities or metropolitan areas
Argentina,SDG indicator 8.5.1 - Average hourly earnings of employees by sex (Local currency),ARG - LFS - Encuesta Permanente de Hogares (Urban),Sex: Male,Occupation (ISCO-08): Total,2018,129,,,Currency: ARG - Argentine peso (ARS) | Accounting concept: Net | Job coverage: Main job currently held | Working time arrangement coverage: Full-time and part time workers,Employment definition: Excluding own-use production workers | Data reference period: Fourth quarter | Geographical coverage: Main cities or metropolitan areas
Argentina,SDG indicator 8.5.1 - Average hourly earnings of employees by sex (Local currency),ARG - LFS - Encuesta Permanente de Hogares (Urban),Sex: Male,Occupation (ISCO-08): 1. Managers,2018,285,,,Currency: ARG - Argentine peso (ARS) | Accounting concept: Net | Job coverage: Main job currently held | Working time arrangement coverage: Full-time and part time workers,Employment definition: Excluding own-use production workers | Data reference period: Fourth quarter | Geographical coverage: Main cities or metropolitan areas
Argentina,SDG indicator 8.5.1 - Average hourly earnings of employees by sex (Local currency),ARG - LFS - Encuesta Permanente de Hogares (Urban),Sex: Male,Occupation (ISCO-08): 2. Professionals,2018,249,,,Currency: ARG - Argentine peso (ARS) | Accounting concept: Net | Job coverage: Main job currently held | Working time arrangement coverage: Full-time and part time workers,Employment definition: Excluding own-use production workers | Data reference period: Fourth quarter | Geographical coverage: Main cities or metropolitan areas
Argentina,SDG indicator 8.5.1 - Average hourly earnings of employees by sex (Local currency),ARG - LFS - Encuesta Permanente de Hogares (Urban),Sex: Male,Occupation (ISCO-08): 3. Technicians and associate professionals,2018,158,,,Currency: ARG - Argentine peso (ARS) | Accounting concept: Net | Job coverage: Main job currently held | Working time arrangement coverage: Full-time and part time workers,Employment definition: Excluding own-use production workers | Data reference period: Fourth quarter | Geographical coverage: Main cities or metropolitan areas
Argentina,SDG indicator 8.5.1 - Average hourly earnings of employees by sex (Local currency),ARG - LFS - Encuesta Permanente de Hogares (Urban),Sex: Male,Occupation (ISCO-08): 4. Clerical support workers,2018,146,,,Currency: ARG - Argentine peso (ARS) | Accounting concept: Net | Job coverage: Main job currently held | Working time arrangement coverage: Full-time and part time workers,Employment definition: Excluding own-use production workers | Data reference period: Fourth quarter | Geographical coverage: Main cities or metropolitan areas
Argentina,SDG indicator 8.5.1 - Average hourly earnings of employees by sex (Local currency),ARG - LFS - Encuesta Permanente de Hogares (Urban),Sex: Male,Occupation (ISCO-08): 5. Service and sales workers,2018,101,,,Currency: ARG - Argentine peso (ARS) | Accounting concept: Net | Job coverage: Main job currently held | Working time arrangement coverage: Full-time and part time workers,Employment definition: Excluding own-use production workers | Data reference period: Fourth quarter | Geographical coverage: Main cities or metropolitan areas
Argentina,SDG indicator 8.5.1 - Average hourly earnings of employees by sex (Local currency),ARG - LFS - Encuesta Permanente de Hogares (Urban),Sex: Male,"Occupation (ISCO-08): 6. Skilled agricultural, forestry and fishery workers",2018,91,,,Currency: ARG - Argentine peso (ARS) | Accounting concept: Net | Job coverage: Main job currently held | Working time arrangement coverage: Full-time and part time workers,Employment definition: Excluding own-use production workers | Data reference period: Fourth quarter | Geographical coverage: Main cities or metropolitan areas
Argentina,SDG indicator 8.5.1 - Average hourly earnings of employees by sex (Local currency),ARG - LFS - Encuesta Permanente de Hogares (Urban),Sex: Male,Occupation (ISCO-08): 7. Craft and related trades workers,2018,103,,,Currency: ARG - Argentine peso (ARS) | Accounting concept: Net | Job coverage: Main job currently held | Working time arrangement coverage: Full-time and part time workers,Employment definition: Excluding own-use production workers | Data reference period: Fourth quarter | Geographical coverage: Main cities or metropolitan areas
Argentina,SDG indicator 8.5.1 - Average hourly earnings of employees by sex (Local currency),ARG - LFS - Encuesta Permanente de Hogares (Urban),Sex: Male,"Occupation (ISCO-08): 8. Plant and machine operators, and assemblers",2018,113,,,Currency: ARG - Argentine peso (ARS) | Accounting concept: Net | Job coverage: Main job currently held | Working time arrangement coverage: Full-time and part time workers,Employment definition: Excluding own-use production workers | Data reference period: Fourth quarter | Geographical coverage: Main cities or metropolitan areas
Argentina,SDG indicator 8.5.1 - Average hourly earnings of employees by sex (Local currency),ARG - LFS - Encuesta Permanente de Hogares (Urban),Sex: Male,Occupation (ISCO-08): 9. Elementary occupations,2018,84,,,Currency: ARG - Argentine peso (ARS) | Accounting concept: Net | Job coverage: Main job currently held | Working time arrangement coverage: Full-time and part time workers,Employment definition: Excluding own-use production workers | Data reference period: Fourth quarter | Geographical coverage: Main cities or metropolitan areas
Argentina,SDG indicator 8.5.1 - Average hourly earnings of employees by sex (Local currency),ARG - LFS - Encuesta Permanente de Hogares (Urban),Sex: Male,Occupation (ISCO-08): 0. Armed forces occupations,2018,140,,,Currency: ARG - Argentine peso (ARS) | Accounting concept: Net | Job coverage: Main job currently held | Working time arrangement coverage: Full-time and part time workers,Employment definition: Excluding own-use production workers | Data reference period: Fourth quarter | Geographical coverage: Main cities or metropolitan areas
Argentina,SDG indicator 8.5.1 - Average hourly earnings of employees by sex (Local currency),ARG - LFS - Encuesta Permanente de Hogares (Urban),Sex: Male,Occupation (ISCO-08): X. Not elsewhere classified,2018,162,,,Currency: ARG - Argentine peso (ARS) | Accounting concept: Net | Job coverage: Main job currently held | Working time arrangement coverage: Full-time and part time workers,Employment definition: Excluding own-use production workers | Data reference period: Fourth quarter | Geographical coverage: Main cities or metropolitan areas
Argentina,SDG indicator 8.5.1 - Average hourly earnings of employees by sex (Local currency),ARG - LFS - Encuesta Permanente de Hogares (Urban),Sex: Female,Occupation (ISCO-08): Total,2018,131,,,Currency: ARG - Argentine peso (ARS) | Accounting concept: Net | Job coverage: Main job currently held | Working time arrangement coverage: Full-time and part time workers,Employment definition: Excluding own-use production workers | Data reference period: Fourth quarter | Geographical coverage: Main cities or metropolitan areas
Argentina,SDG indicator 8.5.1 - Average hourly earnings of employees by sex (Local currency),ARG - LFS - Encuesta Permanente de Hogares (Urban),Sex: Female,Occupation (ISCO-08): 1. Managers,2018,266,,,Currency: ARG - Argentine peso (ARS) | Accounting concept: Net | Job coverage: Main job currently held | Working time arrangement coverage: Full-time and part time workers,Employment definition: Excluding own-use production workers | Data reference period: Fourth quarter | Geographical coverage: Main cities or metropolitan areas
Argentina,SDG indicator 8.5.1 - Average hourly earnings of employees by sex (Local currency),ARG - LFS - Encuesta Permanente de Hogares (Urban),Sex: Female,Occupation (ISCO-08): 2. Professionals,2018,199,,,Currency: ARG - Argentine peso (ARS) | Accounting concept: Net | Job coverage: Main job currently held | Working time arrangement coverage: Full-time and part time workers,Employment definition: Excluding own-use production workers | Data reference period: Fourth quarter | Geographical coverage: Main cities or metropolitan areas
Argentina,SDG indicator 8.5.1 - Average hourly earnings of employees by sex (Local currency),ARG - LFS - Encuesta Permanente de Hogares (Urban),Sex: Female,Occupation (ISCO-08): 3. Technicians and associate professionals,2018,149,,,Currency: ARG - Argentine peso (ARS) | Accounting concept: Net | Job coverage: Main job currently held | Working time arrangement coverage: Full-time and part time workers,Employment definition: Excluding own-use production workers | Data reference period: Fourth quarter | Geographical coverage: Main cities or metropolitan areas
Argentina,SDG indicator 8.5.1 - Average hourly earnings of employees by sex (Local currency),ARG - LFS - Encuesta Permanente de Hogares (Urban),Sex: Female,Occupation (ISCO-08): 4. Clerical support workers,2018,143,,,Currency: ARG - Argentine peso (ARS) | Accounting concept: Net | Job coverage: Main job currently held | Working time arrangement coverage: Full-time and part time workers,Employment definition: Excluding own-use production workers | Data reference period: Fourth quarter | Geographical coverage: Main cities or metropolitan areas
Argentina,SDG indicator 8.5.1 - Average hourly earnings of employees by sex (Local currency),ARG - LFS - Encuesta Permanente de Hogares (Urban),Sex: Female,Occupation (ISCO-08): 5. Service and sales workers,2018,85,,,Currency: ARG - Argentine peso (ARS) | Accounting concept: Net | Job coverage: Main job currently held | Working time arrangement coverage: Full-time and part time workers,Employment definition: Excluding own-use production workers | Data reference period: Fourth quarter | Geographical coverage: Main cities or metropolitan areas
Argentina,SDG indicator 8.5.1 - Average hourly earnings of employees by sex (Local currency),ARG - LFS - Encuesta Permanente de Hogares (Urban),Sex: Female,"Occupation (ISCO-08): 6. Skilled agricultural, forestry and fishery workers",2018,99,,,Currency: ARG - Argentine peso (ARS) | Accounting concept: Net | Job coverage: Main job currently held | Working time arrangement coverage: Full-time and part time workers,Employment definition: Excluding own-use production workers | Data reference period: Fourth quarter | Geographical coverage: Main cities or metropolitan areas
Argentina,SDG indicator 8.5.1 - Average hourly earnings of employees by sex (Local currency),ARG - LFS - Encuesta Permanente de Hogares (Urban),Sex: Female,Occupation (ISCO-08): 7. Craft and related trades workers,2018,102,,,Currency: ARG - Argentine peso (ARS) | Accounting concept: Net | Job coverage: Main job currently held | Working time arrangement coverage: Full-time and part time workers,Employment definition: Excluding own-use production workers | Data reference period: Fourth quarter | Geographical coverage: Main cities or metropolitan areas
Argentina,SDG indicator 8.5.1 - Average hourly earnings of employees by sex (Local currency),ARG - LFS - Encuesta Permanente de Hogares (Urban),Sex: Female,"Occupation (ISCO-08): 8. Plant and machine operators, and assemblers",2018,85,,,Currency: ARG - Argentine peso (ARS) | Accounting concept: Net | Job coverage: Main job currently held | Working time arrangement coverage: Full-time and part time workers,Employment definition: Excluding own-use production workers | Data reference period: Fourth quarter | Geographical coverage: Main cities or metropolitan areas
Argentina,SDG indicator 8.5.1 - Average hourly earnings of employees by sex (Local currency),ARG - LFS - Encuesta Permanente de Hogares (Urban),Sex: Female,Occupation (ISCO-08): 9. Elementary occupations,2018,101,,,Currency: ARG - Argentine peso (ARS) | Accounting concept: Net | Job coverage: Main job currently held | Working time arrangement coverage: Full-time and part time workers,Employment definition: Excluding own-use production workers | Data reference period: Fourth quarter | Geographical coverage: Main cities or metropolitan areas
Argentina,SDG indicator 8.5.1 - Average hourly earnings of employees by sex (Local currency),ARG - LFS - Encuesta Permanente de Hogares (Urban),Sex: Female,Occupation (ISCO-08): 0. Armed forces occupations,2018,96,,,Currency: ARG - Argentine peso (ARS) | Accounting concept: Net | Job coverage: Main job currently held | Working time arrangement coverage: Full-time and part time workers,Employment definition: Excluding own-use production workers | Data reference period: Fourth quarter | Geographical coverage: Main cities or metropolitan areas
Argentina,SDG indicator 8.5.1 - Average hourly earnings of employees by sex (Local currency),ARG - LFS - Encuesta Permanente de Hogares (Urban),Sex: Female,Occupation (ISCO-08): X. Not elsewhere classified,2018,168,,,Currency: ARG - Argentine peso (ARS) | Accounting concept: Net | Job coverage: Main job currently held | Working time arrangement coverage: Full-time and part time workers,Employment definition: Excluding own-use production workers | Data reference period: Fourth quarter | Geographical coverage: Main cities or metropolitan areas
Argentina,SDG indicator 8.5.1 - Average hourly earnings of employees by sex (Local currency),ARG - LFS - Encuesta Permanente de Hogares (Urban),Sex: Total,Occupation (Skill level): Total,2018,130,,,Currency: ARG - Argentine peso (ARS) | Accounting concept: Net | Job coverage: Main job currently held | Working time arrangement coverage: Full-time and part time workers,Employment definition: Excluding own-use production workers | Data reference period: Fourth quarter | Geographical coverage: Main cities or metropolitan areas
Argentina,SDG indicator 8.5.1 - Average hourly earnings of employees by sex (Local currency),ARG - LFS - Encuesta Permanente de Hogares (Urban),Sex: Male,Occupation (Skill level): Total,2018,129,,,Currency: ARG - Argentine peso (ARS) | Accounting concept: Net | Job coverage: Main job currently held | Working time arrangement coverage: Full-time and part time workers,Employment definition: Excluding own-use production workers | Data reference period: Fourth quarter | Geographical coverage: Main cities or metropolitan areas
Argentina,SDG indicator 8.5.1 - Average hourly earnings of employees by sex (Local currency),ARG - LFS - Encuesta Permanente de Hogares (Urban),Sex: Female,Occupation (Skill level): Total,2018,131,,,Currency: ARG - Argentine peso (ARS) | Accounting concept: Net | Job coverage: Main job currently held | Working time arrangement coverage: Full-time and part time workers,Employment definition: Excluding own-use production workers | Data reference period: Fourth quarter | Geographical coverage: Main cities or metropolitan areas
Argentina,SDG indicator 8.5.1 - Average hourly earnings of employees by sex (Local currency),ARG - LFS - Encuesta Anual de Hogares Urbanos,Sex: Total,Occupation (ISCO-08): Total,2000,4,,,Currency: ARG - Argentine peso (ARS),Repository: SEDLAC (CEDLAS and The World Bank) | Geographical coverage: Main cities or metropolitan areas
Argentina,SDG indicator 8.5.1 - Average hourly earnings of employees by sex (Local currency),ARG - LFS - Encuesta Anual de Hogares Urbanos,Sex: Male,Occupation (ISCO-08): Total,2000,4,,,Currency: ARG - Argentine peso (ARS),Repository: SEDLAC (CEDLAS and The World Bank) | Geographical coverage: Main cities or metropolitan areas
Argentina,SDG indicator 8.5.1 - Average hourly earnings of employees by sex (Local currency),ARG - LFS - Encuesta Anual de Hogares Urbanos,Sex: Female,Occupation (ISCO-08): Total,2000,4,,,Currency: ARG - Argentine peso (ARS),Repository: SEDLAC (CEDLAS and The World Bank) | Geographical coverage: Main cities or metropolitan areas
Argentina,SDG indicator 8.5.1 - Average hourly earnings of employees by sex (Local currency),ARG - LFS - Encuesta Anual de Hogares Urbanos,Sex: Total,Occupation (Skill level): Total,2000,4,,,Currency: ARG - Argentine peso (ARS),Repository: SEDLAC (CEDLAS and The World Bank) | Geographical coverage: Main cities or metropolitan areas
Argentina,SDG indicator 8.5.1 - Average hourly earnings of employees by sex (Local currency),ARG - LFS - Encuesta Anual de Hogares Urbanos,Sex: Male,Occupation (Skill level): Total,2000,4,,,Currency: ARG - Argentine peso (ARS),Repository: SEDLAC (CEDLAS and The World Bank) | Geographical coverage: Main cities or metropolitan areas
Argentina,SDG indicator 8.5.1 - Average hourly earnings of employees by sex (Local currency),ARG - LFS - Encuesta Anual de Hogares Urbanos,Sex: Female,Occupation (Skill level): Total,2000,4,,,Currency: ARG - Argentine peso (ARS),Repository: SEDLAC (CEDLAS and The World Bank) | Geographical coverage: Main cities or metropolitan areas
Argentina,SDG indicator 8.5.1 - Average hourly earnings of employees by sex (Local currency),ARG - LFS - Encuesta Anual de Hogares Urbanos,Sex: Total,Occupation (ISCO-08): Total,2001,4,,,Currency: ARG - Argentine peso (ARS),Repository: SEDLAC (CEDLAS and The World Bank) | Geographical coverage: Main cities or metropolitan areas
Argentina,SDG indicator 8.5.1 - Average hourly earnings of employees by sex (Local currency),ARG - LFS - Encuesta Anual de Hogares Urbanos,Sex: Male,Occupation (ISCO-08): Total,2001,4,,,Currency: ARG - Argentine peso (ARS),Repository: SEDLAC (CEDLAS and The World Bank) | Geographical coverage: Main cities or metropolitan areas
Argentina,SDG indicator 8.5.1 - Average hourly earnings of employees by sex (Local currency),ARG - LFS - Encuesta Anual de Hogares Urbanos,Sex: Female,Occupation (ISCO-08): Total,2001,3.9,,,Currency: ARG - Argentine peso (ARS),Repository: SEDLAC (CEDLAS and The World Bank) | Geographical coverage: Main cities or metropolitan areas
Argentina,SDG indicator 8.5.1 - Average hourly earnings of employees by sex (Local currency),ARG - LFS - Encuesta Anual de Hogares Urbanos,Sex: Total,Occupation (Skill level): Total,2001,4,,,Currency: ARG - Argentine peso (ARS),Repository: SEDLAC (CEDLAS and The World Bank) | Geographical coverage: Main cities or metropolitan areas
Argentina,SDG indicator 8.5.1 - Average hourly earnings of employees by sex (Local currency),ARG - LFS - Encuesta Anual de Hogares Urbanos,Sex: Male,Occupation (Skill level): Total,2001,4,,,Currency: ARG - Argentine peso (ARS),Repository: SEDLAC (CEDLAS and The World Bank) | Geographical coverage: Main cities or metropolitan areas
Argentina,SDG indicator 8.5.1 - Average hourly earnings of employees by sex (Local currency),ARG - LFS - Encuesta Anual de Hogares Urbanos,Sex: Female,Occupation (Skill level): Total,2001,3.9,,,Currency: ARG - Argentine peso (ARS),Repository: SEDLAC (CEDLAS and The World Bank) | Geographical coverage: Main cities or metropolitan areas
Argentina,SDG indicator 8.5.1 - Average hourly earnings of employees by sex (Local currency),ARG - LFS - Encuesta Anual de Hogares Urbanos,Sex: Total,Occupation (ISCO-08): Total,2002,3.9,,,Currency: ARG - Argentine peso (ARS),Repository: SEDLAC (CEDLAS and The World Bank) | Geographical coverage: Main cities or metropolitan areas
Argentina,SDG indicator 8.5.1 - Average hourly earnings of employees by sex (Local currency),ARG - LFS - Encuesta Anual de Hogares Urbanos,Sex: Male,Occupation (ISCO-08): Total,2002,4.1,,,Currency: ARG - Argentine peso (ARS),Repository: SEDLAC (CEDLAS and The World Bank) | Geographical coverage: Main cities or metropolitan areas
Argentina,SDG indicator 8.5.1 - Average hourly earnings of employees by sex (Local currency),ARG - LFS - Encuesta Anual de Hogares Urbanos,Sex: Female,Occupation (ISCO-08): Total,2002,3.6,,,Currency: ARG - Argentine peso (ARS),Repository: SEDLAC (CEDLAS and The World Bank) | Geographical coverage: Main cities or metropolitan areas
Argentina,SDG indicator 8.5.1 - Average hourly earnings of employees by sex (Local currency),ARG - LFS - Encuesta Anual de Hogares Urbanos,Sex: Total,Occupation (Skill level): Total,2002,3.9,,,Currency: ARG - Argentine peso (ARS),Repository: SEDLAC (CEDLAS and The World Bank) | Geographical coverage: Main cities or metropolitan areas
Argentina,SDG indicator 8.5.1 - Average hourly earnings of employees by sex (Local currency),ARG - LFS - Encuesta Anual de Hogares Urbanos,Sex: Male,Occupation (Skill level): Total,2002,4.1,,,Currency: ARG - Argentine peso (ARS),Repository: SEDLAC (CEDLAS and The World Bank) | Geographical coverage: Main cities or metropolitan areas
Argentina,SDG indicator 8.5.1 - Average hourly earnings of employees by sex (Local currency),ARG - LFS - Encuesta Anual de Hogares Urbanos,Sex: Female,Occupation (Skill level): Total,2002,3.6,,,Currency: ARG - Argentine peso (ARS),Repository: SEDLAC (CEDLAS and The World Bank) | Geographical coverage: Main cities or metropolitan areas
Argentina,SDG indicator 8.5.1 - Average hourly earnings of employees by sex (Local currency),ARG - LFS - Encuesta Anual de Hogares Urbanos,Sex: Total,Occupation (ISCO-08): Total,2003,4.5,,,Currency: ARG - Argentine peso (ARS) | Break in series: Sample redesigned,Repository: SEDLAC (CEDLAS and The World Bank)
Argentina,SDG indicator 8.5.1 - Average hourly earnings of employees by sex (Local currency),ARG - LFS - Encuesta Anual de Hogares Urbanos,Sex: Male,Occupation (ISCO-08): Total,2003,4.4,,,Currency: ARG - Argentine peso (ARS) | Break in series: Sample redesigned,Repository: SEDLAC (CEDLAS and The World Bank)
Argentina,SDG indicator 8.5.1 - Average hourly earnings of employees by sex (Local currency),ARG - LFS - Encuesta Anual de Hogares Urbanos,Sex: Female,Occupation (ISCO-08): Total,2003,4.6,,,Currency: ARG - Argentine peso (ARS) | Break in series: Sample redesigned,Repository: SEDLAC (CEDLAS and The World Bank)
Argentina,SDG indicator 8.5.1 - Average hourly earnings of employees by sex (Local currency),ARG - LFS - Encuesta Anual de Hogares Urbanos,Sex: Total,Occupation (Skill level): Total,2003,4.5,,,Currency: ARG - Argentine peso (ARS) | Break in series: Sample redesigned,Repository: SEDLAC (CEDLAS and The World Bank)
Argentina,SDG indicator 8.5.1 - Average hourly earnings of employees by sex (Local currency),ARG - LFS - Encuesta Anual de Hogares Urbanos,Sex: Male,Occupation (Skill level): Total,2003,4.4,,,Currency: ARG - Argentine peso (ARS) | Break in series: Sample redesigned,Repository: SEDLAC (CEDLAS and The World Bank)
Argentina,SDG indicator 8.5.1 - Average hourly earnings of employees by sex (Local currency),ARG - LFS - Encuesta Anual de Hogares Urbanos,Sex: Female,Occupation (Skill level): Total,2003,4.6,,,Currency: ARG - Argentine peso (ARS) | Break in series: Sample redesigned,Repository: SEDLAC (CEDLAS and The World Bank)
Argentina,SDG indicator 8.5.1 - Average hourly earnings of employees by sex (Local currency),ARG - LFS - Encuesta Anual de Hogares Urbanos,Sex: Total,Occupation (ISCO-08): Total,2004,4.8,,,Currency: ARG - Argentine peso (ARS),Repository: SEDLAC (CEDLAS and The World Bank)
Argentina,SDG indicator 8.5.1 - Average hourly earnings of employees by sex (Local currency),ARG - LFS - Encuesta Anual de Hogares Urbanos,Sex: Male,Occupation (ISCO-08): Total,2004,4.8,,,Currency: ARG - Argentine peso (ARS),Repository: SEDLAC (CEDLAS and The World Bank)
Argentina,SDG indicator 8.5.1 - Average hourly earnings of employees by sex (Local currency),ARG - LFS - Encuesta Anual de Hogares Urbanos,Sex: Female,Occupation (ISCO-08): Total,2004,4.7,,,Currency: ARG - Argentine peso (ARS),Repository: SEDLAC (CEDLAS and The World Bank)
Argentina,SDG indicator 8.5.1 - Average hourly earnings of employees by sex (Local currency),ARG - LFS - Encuesta Anual de Hogares Urbanos,Sex: Total,Occupation (Skill level): Total,2004,4.8,,,Currency: ARG - Argentine peso (ARS),Repository: SEDLAC (CEDLAS and The World Bank)
Argentina,SDG indicator 8.5.1 - Average hourly earnings of employees by sex (Local currency),ARG - LFS - Encuesta Anual de Hogares Urbanos,Sex: Male,Occupation (Skill level): Total,2004,4.8,,,Currency: ARG - Argentine peso (ARS),Repository: SEDLAC (CEDLAS and The World Bank)
Argentina,SDG indicator 8.5.1 - Average hourly earnings of employees by sex (Local currency),ARG - LFS - Encuesta Anual de Hogares Urbanos,Sex: Female,Occupation (Skill level): Total,2004,4.7,,,Currency: ARG - Argentine peso (ARS),Repository: SEDLAC (CEDLAS and The World Bank)
Argentina,SDG indicator 8.5.1 - Average hourly earnings of employees by sex (Local currency),ARG - LFS - Encuesta Anual de Hogares Urbanos,Sex: Total,Occupation (ISCO-08): Total,2005,5.8,,,Currency: ARG - Argentine peso (ARS),Repository: SEDLAC (CEDLAS and The World Bank)
Argentina,SDG indicator 8.5.1 - Average hourly earnings of employees by sex (Local currency),ARG - LFS - Encuesta Anual de Hogares Urbanos,Sex: Male,Occupation (ISCO-08): Total,2005,5.8,,,Currency: ARG - Argentine peso (ARS),Repository: SEDLAC (CEDLAS and The World Bank)
Argentina,SDG indicator 8.5.1 - Average hourly earnings of employees by sex (Local currency),ARG - LFS - Encuesta Anual de Hogares Urbanos,Sex: Female,Occupation (ISCO-08): Total,2005,5.9,,,Currency: ARG - Argentine peso (ARS),Repository: SEDLAC (CEDLAS and The World Bank)
Argentina,SDG indicator 8.5.1 - Average hourly earnings of employees by sex (Local currency),ARG - LFS - Encuesta Anual de Hogares Urbanos,Sex: Total,Occupation (Skill level): Total,2005,5.8,,,Currency: ARG - Argentine peso (ARS),Repository: SEDLAC (CEDLAS and The World Bank)
